Field Sample Number / Numéro de l'échantillon sur le terrain,Project Name / Nom du projet,Station or Location Name / Nom du la station et lieu ,Station Number / Numéro de la station,Latitude (Decimal Degrees) / Latitude (degrés décimaux),Longitude (Decimal Degrees) / Longitude (degrés décimaux),Sample Date (yyyy-mm-dd hh:mm:ss ) / Date de l'échantillon(aaaa-mm-jj hh:mm:ss),Matrix /  Matrice,Sample Type / Type d'échantillon,Water Depth (m) / La profondeur de l’eau (m),Flag/Marqueur,AMMONIA DISSOLVED (001050-L) (MG/L) / Azote ammoniacal dissous  (001050-L) (MG/L) ,Flag/Marqueur,AMMONIA UN-IONIZED (CALCD. 007570-L) (MG/L) / Azote ammoniacal non ionisé (calculé 007570-L) (MG/L),Flag/Marqueur,CARBON TOTAL ORGANIC (CALCD. 006002-L) (MG/L) / Carbone organique total (calculé 006002-L) (MG/L),Flag/Marqueur,NITROGEN TOTAL (CALCD. 007603-L) (MG/L) / Azote total (calculé 007603-L) (MG/L),Flag/Marqueur,PHOSPHOROUS PARTICULATE (CALCD. 015901-L) (MG/L) / Phosphore particulaire (calculé 015901-L) (MG/L) ,Flag/Marqueur,RESIDUE NONFILTRABLE (107251-L) (MG/L) / Résidus non-filtrables (107251-L) (MG/L),Flag/Marqueur,RESIDUE VOLATILE FILTERABLE (000953-l) (MG/L) / Résidu volatil filtrable (000953-L) (MG/L),Flag/Marqueur,AMMONIA DISSOLVED (007540-L) (MG/L) / Azote ammoniacal dissous (007540-L) (MG/L),Flag/Marqueur,AMMONIA DISSOLVED (007540-P) (MG/L) / Azote ammoniacal dissous  (007540-P) (MG/L) ,Flag/Marqueur,CARBON DISSOLVED ORGANIC (006104-L) (MG/L) / Carbone organique dissous (006104-L) (MG/L),Flag/Marqueur,CARBON PARTICULATE ORGANIC (006901-L) (MG/L) / Carbone organique particulaire  (006901-L) (MG/L),Flag/Marqueur,NITROGEN DISSOLVED NO3 & NO2 (007110-L) (MG/L) / Nitrites/nitrates dissous  (007110-L) (MG/L),Flag/Marqueur,NITROGEN PARTICULATE (007901-L) (MG/L) / Azote particulaire (007901-L) (MG/L) ,Flag/Marqueur,NITROGEN TOTAL DISSOLVED (106001-L) (MG/L) / Azote total dissous (106001-L) (MG/L),Flag/Marqueur,NITROGEN TOTAL DISSOLVED (108767-L) (MG/L) / Azote total dissous  (108767-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL (015423-L) (MG/L) / Phosphore total (015423-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL DISSOLVED (015465-L) (MG/L) / Phosphorus total dissous (015465-L) (MG/L),Flag/Marqueur,RESIDUE FIXED NONFILTRABLE (010501-L) (MG/L) / Résidus fixes non-filtrables (010501-L) (MG/L),Flag/Marqueur,RESIDUE NONFILTRABLE (010401-L) (MG/L) / Résidus non-filtrables (010401-L) (MG/L),Flag/Marqueur,CARBON PARTICULATE ORGANIC  (006902-L) (MG/L) / Carbone organique particulaire (006902-L) (MG/L) ,Flag/Marqueur,NITROGEN PARTICULATE (007902-L) (MG/L) / Azote particulaire (007902-L) (MG/L),Flag/Marqueur,AMMONIA DISSOLVED (007556-L) (MG/L) / Azote ammoniacal dissous (07556-L) (MG/L) ,Flag/Marqueur,CARBON DISSOLVED ORGANIC (106008-L) (MG/L) / Carbone organique dissous  (106008-L) (MG/L),Flag/Marqueur,NITRATE/NITRITE (106000-L) (MG/L) / Nitrites/nitrates  (106000-L) (MG/L),Flag/Marqueur,NITROGEN DISSOLVED (107205-L) (MG/L) / Azote total dissous  (107205-L) (MG/L),Flag/Marqueur,NITROGEN NITRATE (106018-L) (MG/L) / Azote dissous nitrates (106018-L) (MG/L),Flag/Marqueur,NITROGEN NITRITE  (106017-L) (MG/L) / Azote dissous nitrites (106017-L) (MG/L),Flag/Marqueur,NITROGEN TOTAL (107200-L) (MG/L) / Azote total (107200-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL (106007-L) (MG/L) / Phosphore total (106007-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL DISSOLVED (106006-L) (MG/L) / Phosphorus total dissous  (106006-L) (MG/L),Flag/Marqueur,RESIDUE FILTERABLE (106004-L) (MG/L) / Résidus filtrables (106004-L) (MG/L),Flag/Marqueur,RESIDUE NONFILTERABLE  (106005-L) (MG/L) / Résidus non-filtrables (106005-L) (MG/L) ,Flag/Marqueur,CARBON TOTAL ORGANIC (004100-L) (MG/L) / Carbone organique total (004100-L) (MG/L),Flag/Marqueur,NITROGEN NITRATE (006527-L) (MG/L) / Azote dissous nitrates (006527-L) (MG/L),Flag/Marqueur,NITRATE/NITRITE (006529-L) (MG/L) / Nitrites/nitrates  (006529-L) (MG/L),Flag/Marqueur,NITROGEN NITRITE  (006528-L) (MG/L) / Azote dissous nitrites (006528-L) (MG/L),Flag/Marqueur,NITROGEN DISSOLVED (001968-L) (MG/L) / Azote total dissous  (001968-L) (MG/L),Flag/Marqueur,NITROGEN TOTAL (001967-L) (MG/L) / Azote total (001967-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL (103131-L) (MG/L) / Phosphore total (103131-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL (006115-L) (MG/L) / Phosphore total (006115-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL DISSOLVED  (103130-L) (MG/L) / Phosphore total dissous (103130-L) (MG/L),Flag/Marqueur,PHOSPHOROUS DISSOLVED  (006114-L) (MG/L) / Phosphore dissous (006114-L) (MG/L),Flag/Marqueur,PHOSPHOROUS DISSOLVED  (108727-L) (MG/L) / Phosphore dissous (108727-L) (MG/L),Flag/Marqueur,PHOSPHOROUS (108680-L (MG/L) / Phospore (108680-L) (MG/L),Flag/Marqueur,Flag/Marqueur,NITROGEN TOTAL (108768-L) (MG/L) / Azote total (108768-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL (108864-L) (MG/L) / Phosphore total (108864-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL (015406-L) (MG/L) / Phosphore total (015406-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL DISSOLVED (108865-L) (MG/L) / Phosphore total dissous (108865-L) (MG/L),Flag/Marqueur,PHOSPHOROUS TOTAL DISSOLVED  (015102-L) (MG/L) / Phosphore total dissous (015102-L) (MG/L),Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur,Flag/Marqueur
2011PN330008,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2011-09-14 10:40,WATER,TRIPLICATE SAMPLE,,,,,0,,9.01,,0.531,,0.044,,,,,,,L,0.005,,7.47,,1.54,L,0.01,,0.223,,0.308,,,,0.048,,0.004,,23.6,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN330009,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2011-09-14 10:45,WATER,TRIPLICATE SAMPLE,,,,,PM,,8.94,,0.479,,0.043,,,,,,,,0.009,,7.68,,1.26,L,0.01,,0.175,,0.304,,,,0.047,,0.004,,20,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN330010,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2011-09-14 10:50,WATER,TRIPLICATE SAMPLE,,,,,PM,,8.95,,0.488,,0.04,,,,,,,,0.006,,7.56,,1.39,L,0.01,,0.201,,0.287,,,,0.047,,0.007,,22.4,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN330012,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2011-10-12 10:05,WATER,DISCRETE SAMPLE,6,,,,0,,7.28,,0.405,,0.037,,,,,,,,0.008,,6.12,,1.16,L,0.01,,0.127,,0.278,,,,0.042,,0.005,,22.4,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN330019,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-01-25 12:45,WATER,DISCRETE SAMPLE,0.6,,,,PM,,8.127,,0.574,,0.018,,,,,,,,0.076,,7.86,,0.267,,0.185,,0.024,,0.55,,,,0.032,,0.014,,2.8,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN330020,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-02-27 12:00,WATER,DISCRETE SAMPLE,1.45,,,,PM,,7.366,,0.62,,0.021,,,,,,,,0.081,,7.18,,0.186,,0.226,,0.033,,0.587,,,,0.034,,0.013,,2.2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN330026,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-03-27 10:45,WATER,DISCRETE SAMPLE,1.45,,,,PM,,7.337,,0.582,,0.019,,,,,,,,0.042,,7.13,,0.207,,0.242,,0.021,,0.561,,,,0.035,,0.016,,1.2,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-05-30 12:00,WATER,DISCRETE SAMPLE,4M,,,,0.001,,11.99,,0.573,,0.109,,,,,,,,0.014,,9.31,,2.68,L,0.01,,0.241,,0.332,,,,0.118,,0.009,,109,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330015,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-06-26 13:20,WATER,TRIPLICATE SAMPLE,,,,,0,,13.82,,0.88,,0.222,,,,,,,,0.019,,8.18,,5.64,,0.057,,0.545,,0.335,,,,0.234,,0.012,,218,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-06-26 13:25,WATER,TRIPLICATE SAMPLE,,,,,0.001,,13.53,,0.758,,0.246,,,,,,,,0.04,,8.09,,5.44,,0.058,,0.433,,0.325,,,,0.26,,0.014,,215,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-06-26 13:30,WATER,TRIPLICATE SAMPLE,,,,,0,,14.16,,0.878,,0.279,,,,,,,,0.021,,8.09,,6.07,,0.057,,0.538,,0.34,,,,0.29,,0.011,,283,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330038,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-07-24 10:05,WATER,DISCRETE SAMPLE,,,,,0,,19.48,,0.962,,0.316,,,,,,,,0.018,,11.4,,,,0.034,,,,0.354,,,,0.326,,0.01,,134,,147,,8.08,,0.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330042,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-08-21 13:05,WATER,DISCRETE SAMPLE,4.4,,,,0,,10.43,,0.543,,0.132,,,,,,,,0.009,,6.7,,,L,0.01,,,,0.247,,,,0.141,,0.009,,89,,100,,3.73,,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330058,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-09-20 12:45,WATER,DISCRETE SAMPLE,,,,,0,,17.85,,0.469,,0.072,,,,,,,,0.005,,17.8,,,L,0.01,,,,0.468,,,,0.088,,0.016,,50,,58,,0.05,L,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330068,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2012-10-18 12:45,WATER,DISCRETE SAMPLE,,,,,0,,10.704,,0.391,,0.042,,,,,,,,0.009,,9.8,,,,0.013,,,,0.295,,,,0.055,,0.013,,24,,27,,0.904,,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330072,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-01-26 11:45,WATER,DISCRETE SAMPLE,3,,,,0.002,,NC,,NC,,0.017,,,,,,,,0.075,,7.6,,,,0.212,,,,0.627,,,,0.04,,0.023,L,10,L,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330076,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-02-26 11:27,WATER,DISCRETE SAMPLE,5,,,,NC,,NC,,NC,,0.018,,,,,,,,0.047,,8.1,,,,0.255,,,,0.534,,,,0.039,,0.021,L,10,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330093,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-03-26 11:30,WATER,TRIPLICATE SAMPLE,7,,,,0,,7.094,,0.605,,0.019,,,,,,,,0.029,,6.92,,0.174,,0.238,,0.013,,0.592,,,,0.041,,0.022,,1.6,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330094,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-03-26 11:35,WATER,TRIPLICATE SAMPLE,7,,,,PM,,7.276,,0.553,,0.016,,,,,,,,0.026,,7.07,,0.206,,0.228,,0.011,,0.542,,,,0.039,,0.023,,1.2,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN330095,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-03-26 11:40,WATER,TRIPLICATE SAMPLE,7,,,,PM,,7.127,,0.57,,0.017,,,,,,,,0.027,,6.93,,0.197,,0.228,,0.024,,0.546,,,,0.04,,0.023,,1.2,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330001,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-05-28 13:15,WATER,TRIPLICATE SAMPLE,3.1,,,,0.001,,20.44,,0.919,,0.304,,,,,,,,0.044,,15.1,,5.34,,0.024,,0.421,,0.498,,,,0.321,,0.017,,226,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330002,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-05-28 13:20,WATER,TRIPLICATE SAMPLE,3.1,,,,PM,,20.02,,0.945,,0.269,,,,,,,,0.022,,15,,5.02,,0.025,,0.442,,0.503,,,,0.287,,0.018,,246,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-05-28 13:25,WATER,TRIPLICATE SAMPLE,3.1,,,,PM,,20.41,,0.838,,0.296,,,,,,,,0.01,,15.1,,5.31,,0.027,,0.342,,0.496,,,,0.314,,0.018,,254,,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-06-13 15:30,WATER,DISCRETE SAMPLE,6.3,,,,0.001,,42.4,,2.254,,0.95,,,,,,,,0.036,,19,,23.4,,0.059,,1.61,,0.644,,,,0.97,,0.02,,930,,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330040,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-06-26 12:20,WATER,DISCRETE SAMPLE,,,,,0.001,,20.75,,0.918,,0.327,,,,,,,,0.036,,14.4,,6.35,,0.026,,0.456,,0.462,,,,0.345,,0.018,,318,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-07-26 14:25,WATER,DISCRETE SAMPLE,3.4,,,,0,,15.66,,0.665,,0.116,,,,,,,L,0.005,,13.2,,2.46,,0.01,,0.251,,0.414,,,,0.137,,0.021,,68,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN330093,WOOD BUFFALO NATIONAL PARK MONITORING,ATHABASCA RIVER AT 27 BASELINE,AL07DD0001,58.1725,-111.3702778,2013-08-22 14:15,WATER,DISCRETE SAMPLE,2.9,,,,0.002,,11.22,,0.45,,0.076,,,,,,,,0.047,,9.43,,1.79,L,0.01,,0.148,,0.302,,,,0.089,,0.013,,44.8,,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
