2018PN330005,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2018-05-28 12:20,WATER,TRIPLICATE SAMPLE,2.4,,9.54,,0.18,,,,,,
2018PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2018-06-26 13:30,WATER,DISCRETE SAMPLE,3.7,,4.83,,0.1,,,,,,
2018PN330048,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2018-07-25 13:40,WATER,DISCRETE SAMPLE,4.1,,3.84,,0.18,,,,,,
2018PN330051,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2018-08-22 11:30,WATER,DISCRETE SAMPLE,4.2,,1.6,,0.09,,,,,,
2018PN330074,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2018-09-19 11:45,WATER,DISCRETE SAMPLE,4.5,,2.5,,0.06,,,,,,
2018PN330087,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2018-10-17 14:05,WATER,DISCRETE SAMPLE,4.4,,1.82,,0.05,,,,,,
2018PN330093,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-01-21 13:20,WATER,TRIPLICATE SAMPLE,1.63,,0.96,,0.04,,,,,,
2018PN330094,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-01-21 13:25,WATER,TRIPLICATE SAMPLE,1.63,,1.59,,0.04,,,,,,
2018PN330095,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-01-21 13:30,WATER,TRIPLICATE SAMPLE,1.63,,0.97,,0.04,,,,,,
2018PN330106,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-02-18 11:00,WATER,DISCRETE SAMPLE,2.39,,0.84,,0.04,,,,,,
2018PN330125,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-03-19 12:10,WATER,DISCRETE SAMPLE,2.66,,0.95,,0.04,,,,,,
2019PN330006,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-05-29 15:00,WATER,DISCRETE SAMPLE,3.2,,,,,,,,,,
2019PN330019,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-06-24 14:30,WATER,TRIPLICATE SAMPLE,4,,,,,,,,,,
2019PN330020,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-06-24 14:35,WATER,TRIPLICATE SAMPLE,4,,,,,,,,,,
2019PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-06-24 14:40,WATER,TRIPLICATE SAMPLE,4,,,,,,,,,,
2019PN330046,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-07-23 15:40,WATER,DISCRETE SAMPLE,4.4,,,,,,,,,,
2019PN330070,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-08-21 14:15,WATER,DISCRETE SAMPLE,3.8,,,,,,,,,,
2019PN330083,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-09-17 14:55,WATER,DISCRETE SAMPLE,4.4,,,,,,,,,,
2019PN330103,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2019-10-09 12:25,WATER,DISCRETE SAMPLE,3.8,,,,,,,,,,
2019PN330108,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2020-01-20 12:50,WATER,DISCRETE SAMPLE,4.25,,,,,,,,,,
2021PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2021-08-02 11:30,WATER,DISCRETE SAMPLE,5.3,,,,,,0.76,,0.099,,
2021PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2021-08-29 12:45,WATER,DISCRETE SAMPLE,5.4,,,,,,1.64,,0.06,,
2021PN330040,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2021-09-24 15:55,WATER,DISCRETE SAMPLE,5,,,,,,3.79,,0.081,,
2021PN330053,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2021-10-23 14:38,WATER,DISCRETE SAMPLE,4.6,,,,,,6.49,,0.147,,
2021PN330057,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-02-22 11:38,WATER,DISCRETE SAMPLE,2.02,,,,,,0.7,,0.033,,
2021PN330065,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-03-18 12:15,WATER,DISCRETE SAMPLE,3.5,,,,,,1.09,,0.03,,
2022PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-05-24 13:40,WATER,DISCRETE SAMPLE,5.7,,,,,,3.29,,0.114,,
2022PN330022,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-06-25 14:10,WATER,DISCRETE SAMPLE,5.2,,,,,,1.81,,0.153,,
2022PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-07-19 12:00,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2022PN330045,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2022-10-13 12:30,WATER,DISCRETE SAMPLE,4.3,,,,,,4.45,,0.096,,
2022PN330050,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2023-02-09 12:25,WATER,DISCRETE SAMPLE,2.58,,,,,,1.61,,0.03,,
2022PN330055,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2023-03-08 12:10,WATER,DISCRETE SAMPLE,3,,,,,,0.79,,0.029,,
2023PN330011,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2023-06-29 13:10,WATER,DISCRETE SAMPLE,4.1,,,,,,7.01,,0.183,,
2023PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2023-10-07 13:00,WATER,DISCRETE SAMPLE,3.9,,,,,,4.24,,0.1,,
2023PN330022,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2023-10-18 12:50,WATER,DISCRETE SAMPLE,3.8,,,,,,1.97,,0.051,,
2023PN330031,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2024-02-20 11:35,WATER,DISCRETE SAMPLE,1.34,,,,,,1.15,,0.044,,
2023PN330036,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2024-03-20 11:45,WATER,DISCRETE SAMPLE,2.3,,,,,,1.4,,0.018,,
2024PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2024-06-28 11:50,WATER,DISCRETE SAMPLE,4.2,,,,,,4.35,,0.127,,
2024PN330032,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2024-09-19 11:30,WATER,DISCRETE SAMPLE,3.9,,,,,,2.07,,0.045,,
2024PN330036,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2024-10-16 12:05,WATER,DISCRETE SAMPLE,4,,,,,,3.75,,0.045,,
2024PN330038,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-02-19 12:25,WATER,DISCRETE SAMPLE,2.28,,,,,,1.24,,0.04,,
2024PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-03-18 13:00,WATER,DISCRETE SAMPLE,2.46,,,,,,0.89,,0.04,,
2025PN330004,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-05-14 16:16,WATER,DISCRETE SAMPLE,4.1,,,,,,30.91,,0.25,,
2025PN330008,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-06-11 13:15,WATER,DISCRETE SAMPLE,3.9,,,,,,8.49,,0.125,,
2025PN330012,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-07-09 14:44,WATER,DISCRETE SAMPLE,3.6,,,,,,7.43,,0.112,,
2025PN330023,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-08-07 13:00,WATER,DISCRETE SAMPLE,4.2,,,,,,0.69,,0.033,,
2025PN330026,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-09-02 13:10,WATER,TRIPLICATE SAMPLE,4.4,,,,,,1.48,,0.06,,
2025PN330027,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-09-02 13:15,WATER,TRIPLICATE SAMPLE,4.4,,,,,,1.59,,0.06,,
2025PN330028,WOOD BUFFALO NATIONAL PARK MONITORING,QUATRE FOURCHES ON SOUTHERN MAMAWI LK CHANNEL QU1,AL07KF0004,58.63158306,-111.3343061,2025-09-02 13:20,WATER,TRIPLICATE SAMPLE,4.4,,,,,,1.47,,0.058,,
2013PN330018,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-05-30 13:35,WATER,DISCRETE SAMPLE,0.75,,2.09,,0.14,,,,,,
2013PN330067,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-07-27 12:15,WATER,DISCRETE SAMPLE,0.9,,1.29,,0.29,,,,,,
2013PN330083,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-08-24 13:05,WATER,TRIPLICATE SAMPLE,1.3,,1.01,,0.16,,,,,,
2013PN330084,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-08-24 13:10,WATER,TRIPLICATE SAMPLE,1.3,,1.02,,0.16,,,,,,
2013PN330085,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-08-24 13:15,WATER,TRIPLICATE SAMPLE,1.3,,1.1,,0.15,,,,,,
2013PN330117,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-09-14 11:46,WATER,DISCRETE SAMPLE,1,,1.01,,0.12,,,,,,
2013PN330124,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2013-10-05 12:40,WATER,DISCRETE SAMPLE,1.1,,0.91,,0.06,,,,,,
2013PN330154,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-02-27 13:50,WATER,DISCRETE SAMPLE,0.45,,1.15,,0.13,,,,,,
2014PN330013,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-05-28 12:15,WATER,DISCRETE SAMPLE,1.2,,2.03,,0.09,,,,,,
2014PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-06-24 15:45,WATER,DISCRETE SAMPLE,1.2,,1.64,,0.16,,,,,,
2014PN330099,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-07-22 17:00,WATER,DISCRETE SAMPLE,0.9,,1.28,,0.09,,,,,,
2014PN330117,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-08-17 14:15,WATER,DISCRETE SAMPLE,1.2,,1.15,,0.08,,,,,,
2014PN330153,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2014-09-15 13:15,WATER,DISCRETE SAMPLE,0.9,,1.85,,0.06,,,,,,
2014PN330194,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-02-15 15:00,WATER,DISCRETE SAMPLE,0.546,,0.85,,0.09,,,,,,
2015PN330017,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-06-02 15:00,WATER,DISCRETE SAMPLE,0.8,,1.73,,0.1,,,,,,
2015PN330061,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-07-29 13:31,WATER,TRIPLICATE SAMPLE,1.2,,1.57,,0.11,,,,,,
2015PN330062,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-07-29 13:36,WATER,TRIPLICATE SAMPLE,1.2,,1.57,,0.09,,,,,,
2015PN330063,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-07-29 13:41,WATER,TRIPLICATE SAMPLE,1.2,,1.74,,0.08,,,,,,
2015PN330085,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-08-25 13:40,WATER,DISCRETE SAMPLE,1,,1.65,,0.06,,,,,,
2015PN330114,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2015-09-21 13:40,WATER,DISCRETE SAMPLE,1.1,,1.45,,0.08,,,,,,
2016PN330021,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2016-05-31 14:15,WATER,DISCRETE SAMPLE,1.3,,1.68,,0.12,,,,,,
2016PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2016-06-25 12:25,WATER,DISCRETE SAMPLE,1,,1.41,,0.09,,,,,,
2016PN330053,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2016-07-24 13:40,WATER,DISCRETE SAMPLE,0.9,,1.04,,0.05,,,,,,
2016PN330104,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2016-08-21 15:20,WATER,DISCRETE SAMPLE,1.3,,1.09,,0.04,,,,,,
2016PN330168,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-02-22 12:30,WATER,DISCRETE SAMPLE,0.3,,0.79,,0.14,,,,,,
2017PN330005,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-05-29 14:00,WATER,TRIPLICATE SAMPLE,1.2,,1.63,,0.11,,,,,,
2017PN330006,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-05-29 14:05,WATER,TRIPLICATE SAMPLE,1.2,,1.63,,0.11,,,,,,
2017PN330007,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-05-29 14:10,WATER,TRIPLICATE SAMPLE,1.2,,1.79,,0.1,,,,,,
2017PN330028,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-06-27 13:25,WATER,DISCRETE SAMPLE,0.9,,1.49,,0.07,,,,,,
2017PN330055,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-07-24 13:45,WATER,DISCRETE SAMPLE,1.1,,1.27,,0.05,,,,,,
2017PN330102,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2017-10-12 15:45,WATER,DISCRETE SAMPLE,1,,0.81,,0.05,,,,,,
2017PN330105,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2018-01-15 12:25,WATER,DISCRETE SAMPLE,2,,0.75,,0.09,,,,,,
2017PN330121,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2018-02-12 12:10,WATER,DISCRETE SAMPLE,1.7,,0.63,,0.07,,,,,,
2017PN330141,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2018-03-13 12:10,WATER,DISCRETE SAMPLE,1.09,,0.64,,0.08,,,,,,
2018PN280018,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2019-01-14 13:15,WATER,DISCRETE SAMPLE,0.82,,0.8,,0.16,,,,,,
2018PN280022,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2019-02-14 13:20,WATER,DISCRETE SAMPLE,0.28,,0.77,,0.18,,,,,,
2018PN280025,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2019-03-14 13:10,WATER,DISCRETE SAMPLE,0.98,,0.79,,0.13,,,,,,
2018PN330013,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2018-05-29 13:45,WATER,DISCRETE SAMPLE,0.9,,1.4,,0.15,,,,,,
2018PN330045,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2018-07-24 13:30,WATER,DISCRETE SAMPLE,,,2.84,,0.38,,,,,,
2018PN330058,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2018-08-20 14:05,WATER,DISCRETE SAMPLE,0.7,,1.36,,0.22,,,,,,
2018PN330068,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2018-09-17 15:25,WATER,DISCRETE SAMPLE,1,,1.12,,0.17,,,,,,
2018PN330078,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2018-10-15 14:18,WATER,TRIPLICATE SAMPLE,0.7,,1.01,,0.17,,,,,,
2018PN330079,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2018-10-15 14:23,WATER,TRIPLICATE SAMPLE,0.7,,0.99,,0.17,,,,,,
2018PN330080,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2018-10-15 14:28,WATER,TRIPLICATE SAMPLE,0.7,,1.06,,0.19,,,,,,
2019PN280017,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2020-01-15 12:05,WATER,DISCRETE SAMPLE,0.6,,,,,,,,,,
2019PN280021,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2020-02-14 13:35,WATER,DISCRETE SAMPLE,0.66,,,,,,,,,,
2019PN280024,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2020-03-12 13:00,WATER,DISCRETE SAMPLE,,,,,,,,,,,
2019PN330003,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2019-05-27 13:25,WATER,DISCRETE SAMPLE,0.7,,,,,,,,,,
2019PN330038,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2019-06-26 13:00,WATER,DISCRETE SAMPLE,1.1,,,,,,,,,,
2019PN330065,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2019-08-19 12:10,WATER,DISCRETE SAMPLE,1,,,,,,,,,,
2019PN330074,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2019-09-16 16:45,WATER,DISCRETE SAMPLE,0.9,,,,,,,,,,
2021PN330036,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2021-08-30 14:10,WATER,DISCRETE SAMPLE,0.8,,,,,,0.97,,0.077,,
2021PN330044,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2021-09-25 16:20,WATER,DISCRETE SAMPLE,0.8,,,,,,1.24,,0.134,,
2021PN330050,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2021-10-22 15:02,WATER,DISCRETE SAMPLE,0.8,,,,,,1.01,,0.115,,
2022PN330009,WOOD BUFFALO NATIONAL PARK MONITORING,LOWER BUCKTON CREEK (BU2),AL07KF0005,58.12688778,-111.8892875,2022-05-22 13:00,WATER,DISCRETE SAMPLE,1,,,,,,2.94,,0.122,,
2013PN330016,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2013-05-30 12:35,WATER,DISCRETE SAMPLE,0.75,,36.5,,0.62,,,,,,
2013PN330041,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2013-06-25 18:00,WATER,DISCRETE SAMPLE,0.8,,25.8,,1.08,,,,,,
2013PN330058,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2013-07-27 13:15,WATER,DISCRETE SAMPLE,0.4,,10.3,,0.89,,,,,,
2013PN330091,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2013-08-24 11:40,WATER,DISCRETE SAMPLE,1,,9.76,,1.13,,,,,,
2013PN330115,WOOD BUFFALO NATIONAL PARK MONITORING,MCIVOR RIVER (MC1),AL07KF0006,58.05889139,-111.9041686,2013-09-14 13:15,WATER,DISCRETE SAMPLE,0.8,,8.36,,1.03,,,,,,
