2019PN880018,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-06-18 11:30,WATER,VERTICAL INTEGRATED,2.2,,118.609,,0,,1.016,,8.164,,105.464,,0,,0.208,,0.61,,22.796,,7.845,,149.444,,,,,,NA,,NA,,97.3,,,,13,,0.09,,,,8.26,,,,,,,,19.9,,28.7,,8.21,,1.12,,5.5,,14.5,,,,264,,19.6,,8.3,,8.13,,268,,20.8,,27.1,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880019,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-06-18 11:10,WATER,VERTICAL INTEGRATED,2.3,,108.491,,0,,1.069,,5.219,,94.219,,0,,0.058,,0.79,,28.729,,8.083,,145.244,,,,,,NA,,NA,,89,,,,17.6,,0.1,,,,8.2,,,,,,,,16.6,,25.4,,7.48,,1.07,,5.85,,17.7,,,,262,,17.8,,8.19,,8.07,,265,,20.85,,23.1,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880020,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-06-19 11:05,WATER,VERTICAL INTEGRATED,3.6,,137.747,,0,,1.236,,13.501,,126.501,,0,,0.331,,0.37,,13.87,,7.578,,158.594,,,,,,NA,,NA,,113,,,,3.5,,0.09,,,,8.24,,,,,,,,27.3,,34.8,,9.62,,1.18,,4.79,,9.47,,,,277,,23,,8.11,,BR,,279,,20.69,,35.9,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880021,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-06-19 10:35,WATER,VERTICAL INTEGRATED,4.5,,129.214,,0,,1.244,,11.086,,117.086,,0,,0.236,,0.46,,17.309,,7.739,,153.724,,,,,,NA,,NA,,106,,,,7.5,,0.09,,,,8.21,,,,,,,,23.7,,32.2,,8.91,,1.15,,5.13,,11.4,,,,271,,22.2,,8.07,,BR,,273,,20.52,,27.5,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880022,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-07-04 15:45,WATER,VERTICAL INTEGRATED,5.3,,117.999,,0,,1.505,,10.697,,107.497,,0,,-0.133,,0.24,,10.408,,8.356,,128.65,,,,,,NA,,NA,,96.8,,,,1.39,,0.09,,,,8.09,,,,,,,,17.2,,30.8,,7.43,,1.22,,6.23,,5.82,,,,218,,616,,9.93,,8.27,,209,,14.02,EVENTF,553,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880023,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-07-04 11:00,WATER,VERTICAL INTEGRATED,3,,119.828,,0,,1.717,,11.519,,109.819,,0,,-0.174,,0.26,,10.736,,8.388,,135.396,,,,,,NA,,NA,,98.3,,,,1.56,,0.09,,,,8.04,,,,,,,,17.5,,31.4,,7.63,,1.45,,10.2,,6.17,,,,220,,683,,9.59,,8.34,,215,,13.88,EVENTF,576,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880024,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-07-04 11:25,WATER,VERTICAL INTEGRATED,5.1,,118.121,,0,,1.542,,12.463,,109.363,,0,,-0.143,,0.25,,10.401,,8.365,,134.426,,,,,,NA,,NA,,96.9,,,,1.43,,0.09,,,,8.08,,,,,,,,17.5,,31.3,,7.58,,1.44,,10.6,,5.93,,,,220,,673,,9.74,,8.48,,212,,13.85,EVENTF,568.6,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880025,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-07-04 11:45,WATER,VERTICAL INTEGRATED,7.8,,114.708,,0,,1.497,,10.735,,104.835,,0,,-0.169,,0.34,,14.006,,8.418,,134.794,,,,,,NA,,NA,,94.1,,,,4.1,,0.09,,,,8.08,,,,,,,,16.3,,29.8,,7.39,,1.42,,10.9,,7.98,,,,222,,549,,9.8,,8.51,,214,,14.08,EVENTF,486.5,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880026,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-07-04 12:20,WATER,VERTICAL INTEGRATED,7.1,,112.026,,0,,1.532,,4.791,,96.691,,0,,-0.229,,0.49,,19.761,,8.519,,131.267,,,,,,NA,,NA,,91.9,,,,8.52,,0.1,,,,8.06,,,,,,,,14.4,,27,,7.11,,1.11,,6.53,,11.1,,,,227,,384,,9.69,,8.45,,219,,14.46,,379,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880027,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-07-05 11:50,WATER,VERTICAL INTEGRATED,6.5,,120.072,,0,,1.721,,10.032,,108.532,,0,,-0.152,,0.27,,11.364,,8.343,,134.866,,,,,,NA,,NA,,98.5,,,,1.73,,0.09,,,,8.04,,,,,,,,17.4,,31,,7.56,,1.43,,9.64,,6.5,,,,222,,534,,9.03,,8.3,,213,,14.74,EVENTF,447,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880028,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-07-05 11:15,WATER,VERTICAL INTEGRATED,7.5,,117.268,,0,,1.495,,9.261,,105.461,,0,,-0.133,,0.31,,13.107,,8.356,,134.192,,,,,,NA,,NA,,96.2,,,,3.64,,0.09,,,,8.09,,,,,,,,15.9,,30.1,,7.36,,1.38,,10.2,,7.43,,,,222,,496,,9.28,,8.17,,215,,14.47,EVENTF,436,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880029,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-07-16 12:50,WATER,VERTICAL INTEGRATED,2.1,,125.557,,0,,1.564,,9.922,,112.922,,0,,0.022,,0.24,,10.169,,8.057,,135.248,,,,,,NA,,NA,,103,,,,1.85,,0.08,,,,8.1,,,,,,,,17.6,,32,,8.02,,1.17,,6.45,,5.95,,,,229,,204,,9.1,,8.06,,225,,17.34,EVENTF,227.5,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880030,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-07-16 12:18,WATER,VERTICAL INTEGRATED,4.1,,124.338,,0,,1.513,,10.716,,112.716,,0,,0.022,,0.23,,9.585,,8.066,,133.484,,,,,,NA,,NA,,102,,,,1.43,,0.08,,,,8.11,,,,,,,,17.4,,32,,7.97,,1.14,,6.5,,5.56,,,,227,,200,,9.23,,7.84,,221,,17.15,,218.1,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880031,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-07-16 11:55,WATER,VERTICAL INTEGRATED,4.7,,117.024,,0,,1.424,,11.11,,107.11,,0,,-0.022,,0.32,,13.214,,8.155,,130.988,,,,,,NA,,NA,,96,,,,4.27,,0.08,,,,8.11,,,,,,,,15.8,,30.2,,7.7,,1.1,,6.48,,7.59,,,,227,,168,,9.15,,7.85,,222,,17.36,EVENTF,191.3,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880032,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-07-16 11:32,WATER,VERTICAL INTEGRATED,4.1,,109.832,,0,,1.337,,7.003,,97.103,,0,,-0.077,,0.5,,20,,8.265,,130.115,,,,,,NA,,NA,,90.1,,,,9.51,,0.09,,,,8.11,,,,,,,,13.2,,27,,7.21,,1.01,,6.62,,11.3,,,,228,,128,,8.94,,8.02,,222,,18.07,EVENTF,146,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880033,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-07-17 12:35,WATER,VERTICAL INTEGRATED,5.2,,123.119,,0,,1.684,,13.415,,114.415,,0,,0.025,,0.26,,10.654,,8.01,,134.636,,,,,,NA,,NA,,101,,,,1.75,,0.08,,,,8.06,,,,,,,,17.8,,32.4,,8.14,,1.18,,6.11,,6.35,,,,234,,173,,8.34,,7.92,,226,,18.9,EVENTF,639,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880034,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-07-17 12:00,WATER,VERTICAL INTEGRATED,6.3,,118.243,,0,,1.543,,13.266,,110.266,,0,,0.001,,0.31,,12.886,,8.077,,133.272,,,,,,NA,,NA,,97,,,,4.38,,0.08,,,,8.08,,,,,,,,16.2,,31.2,,7.86,,1.12,,6.46,,7.59,,,,234,,164,,8.61,,7.83,,228,,18.55,EVENTF,600,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880035,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-07-16 15:25,WATER,TRIPLICATE SAMPLE,3.6,,124.338,,0,,1.411,,12.956,,114.956,,0,,0.078,,0.23,,9.523,,7.984,,134.684,,,,,,NA,,NA,,102,,,,1.44,,0.08,,,,8.14,,,,,,,,17.7,,32.6,,8.15,,1.16,,6.52,,5.63,,,,231,,184,,9.24,,7.87,,224,,17.75,EVENTF,334.4,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880036,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-07-16 15:30,WATER,TRIPLICATE SAMPLE,3.6,,124.338,,0,,1.411,,12.25,,114.25,,0,,PM,,0.23,,9.526,,PM,,134.265,,,,,,NA,,NA,,102,,,,1.43,,0.08,,,,8.14,,,,,,,,17.6,,32.4,,8.1,,1.19,,6.47,,5.6,,,,232,,186,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880037,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-07-16 15:35,WATER,TRIPLICATE SAMPLE,3.6,,123.119,,0,,1.397,,12.836,,113.836,,0,,PM,,0.23,,9.5,,PM,,133.285,,,,,,NA,,NA,,101,,,,1.42,,0.08,,,,8.14,,,,,,,,17.5,,32.3,,8.06,,1.14,,6.43,,5.56,,,,231,,184,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880042,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-07-30 12:40,WATER,VERTICAL INTEGRATED,4.1,,123.119,,0,,1.272,,13.495,,114.495,,0,,0.104,,0.26,,10.547,,7.972,,137.215,,,,,,NA,,NA,,101,,,,1.88,,0.09,,,,8.18,,,,,,,,16.9,,32.3,,8.22,,1.42,,9.35,,6.3,,,,231,,222,,9.15,,7.97,,220,,17.58,EVENTF,250,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880043,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-07-30 11:15,WATER,VERTICAL INTEGRATED,2,,123.119,,0,,1.333,,14.82,,115.82,,0,,0.086,,0.27,,10.841,,7.988,,139.321,,,,,,NA,,NA,,101,,,,2.2,,0.09,,,,8.16,,,,,,,,17.9,,32.6,,8.36,,1.41,,9.29,,6.57,,,,235,,238,,8.9,,7.87,,230,,17.56,,245.5,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880044,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-07-30 11:00,WATER,VERTICAL INTEGRATED,4.5,,121.9,,0,,1.289,,14.618,,114.618,,0,,0.09,,0.25,,10.434,,7.989,,136.845,,,,,,NA,,NA,,100,,,,1.82,,0.09,,,,8.17,,,,,,,,17.5,,32.3,,8.25,,1.4,,9.1,,6.23,,,,231,,228,,9.03,,7.74,,226,,17.61,,223.5,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880045,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-07-30 10:50,WATER,VERTICAL INTEGRATED,4.9,,117.024,,0,,1.238,,11.558,,107.558,,0,,0.049,,0.4,,16.134,,8.071,,137.12,,,,,,NA,,NA,,96,,,,6.16,,0.09,,,,8.17,,,,,,,,15.6,,30,,7.93,,1.28,,8.69,,9.65,,,,236,,184,,8.93,,7.85,,231,,17.9,,192.5,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880046,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-07-30 10:20,WATER,VERTICAL INTEGRATED,4.3,,113.733,,0,,1.203,,9.316,,102.616,,0,,0.217,,0.52,,20.316,,7.736,,138.674,,,,,,NA,,NA,,93.3,,,,10.4,,0.1,,,,8.17,,,,,,,,14.1,,28.4,,7.7,,1.21,,8.5,,12.2,,,,240,,148,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880047,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-07-31 11:40,WATER,VERTICAL INTEGRATED,5.3,,123.119,,0,,1.57,,15.235,,116.235,,0,,0.03,,0.29,,11.847,,8.03,,136.649,,,,,,NA,,NA,,101,,,,2.24,,0.09,,,,8.09,,,,,,,,16.7,,32.7,,8.4,,1.32,,7.12,,7.28,,,,232,,200,,8.58,,7.76,,227,,17.94,EVENTF,180.4,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880048,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-07-31 11:00,WATER,VERTICAL INTEGRATED,6.2,,119.584,,0,,1.561,,15.023,,113.123,,0,,-0.011,,0.36,,14.197,,8.101,,136.802,,,,,,NA,,NA,,98.1,,,,4.84,,0.09,,,,8.08,,,,,,,,15.5,,31.8,,8.19,,1.25,,7.41,,8.72,,,,236,,188,,8.65,,7.85,,230,,17.75,,182.8,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880049,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-08-13 13:45,WATER,VERTICAL INTEGRATED,3.4,,133.651,,0.816,,1.006,,19.507,,130.507,,0,,0.365,,0.26,,10.162,,7.591,,150.905,,,,,,NA,,0.68,,111,,,,1.79,,0.09,,,,8.32,,,,,,,,20.7,,36.8,,9.38,,1.48,,7.07,,6.88,,,,258,,48.8,,9.35,,8.02,,258,,18.5,,64.5,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880050,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-08-13 11:55,WATER,VERTICAL INTEGRATED,1.1,,137.747,,0,,1.152,,17.299,,130.299,,0,,0.309,,0.3,,11.344,,7.651,,154.151,,,,,,NA,,NA,,113,,,,2.66,,0.09,,,,8.27,,,,,,,,20.9,,36.7,,9.39,,1.48,,7.06,,7.77,,,,263,,53,,9.07,,8.11,,264,,18.12,EVENTF,74.2,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880051,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-08-13 11:25,WATER,VERTICAL INTEGRATED,3.5,,135.309,,0,,1.055,,17.973,,128.973,,0,,0.327,,0.26,,10.272,,7.647,,150.155,,,,,,NA,,NA,,111,,,,5.1,,0.09,,,,8.3,,,,,,,,17.2,,36.4,,9.25,,1.45,,7.07,,6.88,,,,257,,51.8,,9.25,,8.12,,257,,18.04,EVENTF,64.7,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880052,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-08-13 11:05,WATER,VERTICAL INTEGRATED,4.3,,123.119,,0,,1.054,,14.897,,115.897,,0,,0.186,,0.37,,14.361,,7.887,,141.527,,,,,,NA,,NA,,101,,,,5.07,,0.09,,,,8.26,,,,,,,,17,,32.4,,8.5,,1.34,,7.37,,9.06,,,,244,,47,,9.27,,8.08,,244,,17.68,,57.5,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880053,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-08-13 10:50,WATER,VERTICAL INTEGRATED,3.6,,102.518,,0,,1.059,,8.678,,92.778,,0,,-0.084,,0.58,,22.84,,8.348,,127.688,,,,,,NA,,NA,,84.1,,,,11.3,,0.1,,,,8.18,,,,,,,,11.5,,25.4,,7.13,,1.06,,7.88,,12.8,,,,225,,41.9,,9.17,,7.94,,224,,17.35,,50.5,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880054,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-08-14 11:20,WATER,VERTICAL INTEGRATED,4.7,,128.312,,1.644,,0.912,,12.335,,120.335,,0,,0.345,,0.32,,12.746,,7.66,,145.745,,,,,,NA,,1.37,,108,,,,2.29,,0.09,,,,8.35,,,,,,,,19.6,,33.6,,8.85,,1.34,,6.83,,8.19,,,,254,,54.4,,8.78,,7.98,,251,,18.51,EVENTF,63.5,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880055,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-08-14 10:45,WATER,VERTICAL INTEGRATED,5.6,,124.289,,0.624,,0.956,,11.651,,114.651,,0,,0.26,,0.38,,14.799,,7.79,,142.853,,,,,,NA,,0.52,,103,,,,5.38,,0.09,,,,8.31,,,,,,,,17.3,,32,,8.44,,1.29,,7.18,,9.28,,,,251,,51.8,,8.57,,8.19,,248,,18.35,EVENTF,59,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880056,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-09-10 14:05,WATER,VERTICAL INTEGRATED,2.8,,138.82,,3.072,,0.936,,20.862,,139.862,,0,,0.353,,0.3,,11.187,,7.673,,165.804,,,,,,NA,,2.56,,119,,,,1.81,,0.1,,,,8.38,,,,,,,,28.9,,38.7,,10.5,,1.18,,4.99,,8.18,,,,286,,20.6,,10.25,,7.88,,284,,14.59,,20.7,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880057,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-09-10 12:10,WATER,VERTICAL INTEGRATED,1.2,,148.718,,0,,1.187,,18.686,,140.686,,0,,0.236,,0.39,,14.064,,7.818,,171.731,,,,,,NA,,NA,,122,,,,3.77,,0.1,,,,8.29,,,,,,,,27.8,,38.7,,10.7,,1.28,,5.18,,10.7,,,,295,,22,,10.14,,8.06,,295,,13.42,,21.8,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
